,,,,,
,,,,,
Cost of one reduction in total infection ($ per person),,,,,
,PCR pooled screening,PCR individual screening,Antigen screening (every 3 days),Antigen screening (every 14 days),
0.001,80,928,184,777,
0.005,367,832,365,642,
0.01,367,834,368,750,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Reduction in total infection/person,,,,,
,PCR pooled screening,PCR individual screening,Antigen screening (every 3 days),Antigen screening (every 14 days),
0.001,79911,7910,80241,31345,
0.005,24184,7883,78814,29968,
0.01,19983,7817,77058,29874,
,,,,,
,,,,,
Epidemic end time,,,,,
,PCR pooled screening,PCR individual screening,Antigen screening (every 3 days),Antigen screening (every 14 days),
0.001,123,263,54,365,
0.005,268,257,118,320,
0.01,233,264,126,365,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Total infections,,,,,
,PCR pooled screening,PCR individual screening,Antigen screening (every 3 days),Antigen screening (every 14 days),
0.001,638,72639,308,49204,
0.005,56365,72666,1735,50581,
0.01,60566,72732,3491,50675,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,PCR pooled screening,,,,
,Average pool size,PCR individual screening,Antigen screening (every 3 days),Antigen screening (every 14 days),
0.001,30,1,1,1,
0.0025,30,1,1,1,
0.005,26,1,1,1,
0.0075,18,,,,
0.01,16,,,,
0.0125,15,,,,
0.015,15,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,The number of changes in pool size ,The change frequency of pool size (Weeks),,Duration  pool size changes,
0.001,0,0,,0,
0.005,5,3,,91,
0.01,13,2,,180,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,The number of changes in pool size ,The change frequency of pool size (Weeks),,Duration  pool size changes,
0.001,0.0,0.0,0,91,
0.0025,0.0,0.0,0,0,
0.005,5.0,2.6,2.6,,
0.0075,11.0,2.5,2.5,,
0.01,13.0,2.0,1.98,,
0.0125,15.0,1.5,1.5,180,
0.015,14.0,1.5,1.5,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Initial pool size,Next update time,,,
0.001,30,,,,
0.002,30,3,,,
0.003,25,2,,,
0.004,20,1,,,
0.005,20,1,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,The number of changes in pool size ,The change frequency of pool size (Weeks),,,
0.001,0.0,0.0,,,
0.0025,0.0,0.0,,,
0.005,5.0,2.6,,,
0.0075,11.0,2.5,,,
0.01,13.0,2.0,,,
0.0125,15.0,1.5,,,
0.015,14.0,1.5,,,
