,S,I,R,Q,SQ,total_tested_individual,positive_results,number_of_total_tests,n_star,number_of_group_tests,TP,TN,FP,FN,n_star_by_sim,mean_day,is_increasing,v_mean,v_std,v_pt_0,v_pt_15,v_pt_25,v_pt_50,v_pt_75,v_pt_85,v_pt_100,day,PPV,NPV,I_all,total_sample
0,99950,50,0,0,0,0,0,0,1,0,0,0,0,0,1,0.09766054269012749,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,50,0
1,99944,56,0,0,0,0,0,0,1,0,0,0,0,0,1,0.13000528156878208,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,56,0
2,99937,62,0,0,1,0,0,0,1,0,0,0,0,0,1,0.1546288325715128,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,63,0
3,99930,65,0,0,5,0,0,0,1,0,0,0,0,0,1,0.18026218117423423,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,,70,0
4,99922,71,0,0,7,0,0,0,1,0,0,0,0,0,1,0.20208350939875327,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,,,78,0
5,99913,76,0,0,11,0,0,0,1,0,0,0,0,0,1,0.2237206456391508,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,,87,0
6,99904,80,0,0,16,0,0,0,1,0,0,0,0,0,1,0.24385119525841786,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,,,96,0
7,99894,88,0,0,18,0,0,0,1,0,0,0,0,0,1,0.25994828591299896,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,,,106,0
8,99883,97,0,0,20,0,0,0,1,0,0,0,0,0,1,0.27834571519330503,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,,,117,0
9,99871,106,0,0,23,0,0,0,1,0,0,0,0,0,1,0.2929134811253408,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,,,129,0
10,99858,118,0,0,24,0,0,0,1,0,0,0,0,0,1,0.3069317368830257,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,,,142,0
11,99844,129,0,0,27,0,0,0,1,0,0,0,0,0,1,0.3148737432967193,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,,,156,0
12,99828,136,1,0,35,0,0,0,1,0,0,0,0,0,1,0.3176158336277598,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,,,172,0
13,99812,147,3,0,38,0,0,0,1,0,0,0,0,0,1,0.31606806022453654,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,,,188,0
14,99794,159,8,0,39,6415,6,6415,1,0,6,6282,120,7,1,0.3278765815374025,True,4.60478587763152,3.160876689734823,0.0,0.8595741115143632,2.429955808958808,4.109812586382877,7.268556917225573,7.786232170820572,10.783905246536527,14,0.047619047619047616,0.9988869454603275,206,6415
15,99775,168,9,6,42,6453,7,6453,1,0,7,6316,122,8,1,0.3315202183579105,True,4.197077951742369,2.8371186259748007,0.0,0.5100835403234252,2.089791467599788,3.71755478539363,6.487915283799044,7.249615521372763,8.652025741999731,15,0.05426356589147287,0.9987349778621126,225,6453
16,99755,175,14,13,43,6413,6,6413,1,0,6,6261,141,5,1,0.3167937788389539,True,5.099401319562542,2.0514903354329,1.9775601410884334,2.176985662670578,3.21185566641384,6.302747138591198,6.962853193584504,7.062988538135301,7.180083049051389,16,0.04081632653061224,0.9992020427705075,245,6413
17,99734,178,24,19,45,6404,10,6404,1,0,10,6266,124,4,1,0.32478170013527996,True,5.3063648036970905,2.691019783203548,0.0,1.3030772591866637,3.83586410853019,6.184437630315244,7.0321752658252645,7.4506270139188695,9.154179052829814,17,0.07462686567164178,0.9993620414673047,266,6404
18,99713,186,27,29,45,6560,7,6560,1,0,7,6409,138,6,1,0.32296933707393743,True,4.523592302335575,2.683234864234712,0.0,1.7507537886593627,2.750878023749854,5.249826335749337,6.6963472602787215,7.39190358076888,8.238481964989807,18,0.04827586206896552,0.9990646921278254,287,6560
19,99691,191,32,36,50,6427,9,6427,1,0,9,6278,134,6,1,0.3323246808656801,True,5.189769313141751,3.0643936172778568,0.0,1.5813730249353568,2.892776955348112,5.0665395806656415,7.138368252140681,7.911081907329425,11.51191953445078,19,0.06293706293706294,0.9990451941438574,309,6427
20,99668,202,35,45,50,6459,7,6459,1,0,7,6323,122,7,1,0.31471112132070533,True,3.4871293806877897,3.1578487004332914,0.0,0.0,0.0,4.5130856926634415,6.479766661342711,6.6196726469286435,7.10561390049302,20,0.05426356589147287,0.9988941548183254,332,6459
21,99644,202,46,52,56,6273,5,6273,1,0,5,6130,133,5,1,0.312724017711333,True,4.38763713916145,3.483110821195321,0.0,0.3264619786998542,1.1783383076047367,4.580670574128721,7.25663881899639,8.20706271421888,8.708487388318115,21,0.036231884057971016,0.9991850040749797,356,6273
22,99620,210,53,57,60,6332,8,6332,1,0,8,6193,118,13,1,0.31508905606795123,True,3.6206783853742945,2.837076186388546,0.0,0.5113285934977398,0.951818076985747,2.906876309608459,5.771132662791254,7.353054630635522,8.423305882414974,22,0.06349206349206349,0.9979052529809861,380,6332
23,99595,218,60,64,63,6401,6,6401,1,0,6,6265,124,6,1,0.3062767748772213,True,3.7799048147300325,3.027866501225047,0.0,0.0,0.6273601859075729,4.3116888827731135,6.474921173308827,6.537732555747609,8.059419870323966,23,0.046153846153846156,0.9990432147982777,405,6401
24,99569,226,71,70,64,6482,5,6482,1,0,5,6322,145,10,1,0.30560217075919444,True,4.241483859399013,2.2727137979855025,0.3468168931865313,2.4419466322222068,2.662951620007838,3.6546638567713114,6.677339717984108,7.253132053270225,7.580527394086793,24,0.03333333333333333,0.9984207201516109,431,6482
25,99542,237,79,74,68,6509,4,6509,1,0,4,6370,123,12,1,0.29629736959728387,True,3.575342097717132,2.0813816953822277,0.0,0.8266242255952945,1.8439605141675564,4.063253943121692,4.920831278232963,5.55898614248401,6.764962241217939,25,0.031496062992125984,0.9981197116891256,458,6509
26,99513,251,91,78,67,6453,12,6453,1,0,12,6298,135,8,1,0.3076059477585919,True,5.168809794883646,2.5569427414780046,0.5244969716987077,1.8022536269512688,2.9883052449473038,5.851410999065871,7.134232226836729,7.4426727782879185,9.990094374991886,26,0.08163265306122448,0.9987313669521091,487,6453
