,S,I,R,Q,SQ,total_tested_individual,positive_results,number_of_total_tests,n_star,number_of_group_tests,TP,TN,FP,FN,n_star_by_sim,mean_day,is_increasing,v_mean,v_std,v_pt_0,v_pt_15,v_pt_25,v_pt_50,v_pt_75,v_pt_85,v_pt_100,day,PPV,NPV,I_all,total_sample
0,99950,50,0,0,0,0,0,0,1,0,0,0,0,0,1,0.09766054269012749,True,2.87390310132933,3.3706610702310975,0.0,0.0,0.0,0.20427740470978592,6.5385275279418344,6.977574218983212,9.499002822232812,0,,,50,0
1,99944,56,0,0,0,0,0,0,1,0,0,0,0,0,1,0.13030626911287582,True,3.9163605759862414,3.017942134384906,0.0,0.0,0.053817222921371526,5.098210675454456,6.562945012858675,7.229955212791216,8.870888734666563,1,,,56,0
2,99937,62,0,0,1,0,0,0,1,0,0,0,0,0,1,0.15549159459142053,True,4.763613389135224,2.84333966566713,0.0,0.05856330818917808,2.178332230154246,5.916900656736157,6.910262962298861,7.483512791678365,8.728887355693342,2,,,63,0
3,99930,65,0,0,5,0,0,0,1,0,0,0,0,0,1,0.1811023994132954,True,5.561216959422621,2.4504876263005553,0.0,2.383770022215134,4.529315519134586,6.259124188803785,7.123402415264249,7.917232871360971,9.079136337658085,3,,,70,0
4,99922,71,0,0,7,0,0,0,1,0,0,0,0,0,1,0.20292794918678106,True,5.549787121464266,2.396066776577949,0.0,3.866627633421709,4.941479756141145,6.098165427355956,7.150946850832815,7.548237663129768,9.381260225930294,4,,,78,0
5,99913,77,0,0,10,0,0,0,1,0,0,0,0,0,1,0.225274845955134,True,5.331479611100799,2.5299426527752,0.0,2.000079123080272,4.244533525441898,6.0161282107345055,7.165781776758713,7.541360660587278,9.599778858412778,5,,,87,0
6,99904,80,0,0,16,0,0,0,1,0,0,0,0,0,1,0.24739110134364542,True,5.41781550679129,2.402905033135616,0.0,3.1190838534808796,4.5258598711498585,5.978276941563246,7.086204149069111,7.460679286803246,10.175391750840525,6,,,96,0
7,99894,88,0,0,18,0,0,0,1,0,0,0,0,0,1,0.26722506107397,True,4.918078092729571,2.6867814005026194,0.0,0.6637866367090153,3.322204747197639,5.433470202256149,6.78661129438539,7.460103069304214,9.706353206117328,7,,,106,0
8,99883,96,0,0,21,0,0,0,1,0,0,0,0,0,1,0.2863651269637219,True,4.302109846339912,2.579712640003858,0.0,0.6115644491043114,2.301627927561642,4.710008127090488,6.406833594722547,6.967815937047471,9.179157691818219,8,,,117,0
9,99871,106,0,0,23,0,0,0,1,0,0,0,0,0,1,0.3038831696756718,True,4.522510963352173,2.3410863350066555,0.0,1.5129077076081119,3.33082453461257,4.665210653050661,6.215349180203683,6.803689258309593,8.973023384654304,9,,,129,0
10,99858,117,0,0,25,0,0,0,1,0,0,0,0,0,1,0.32051733833692014,True,4.645296012932628,2.5263012069139803,0.0,1.5987198251678163,2.9335579357447052,4.929594639878389,6.548570559652086,7.378070836739942,11.111946709962934,10,,,142,0
11,99844,130,0,0,26,0,0,0,1,0,0,0,0,0,1,0.33210265315348475,True,4.424564061591285,2.605209318967666,0.0,1.0661738707243555,2.471986809289435,4.9363413282415305,6.3518141541589,7.362359494437624,10.505673132292495,11,,,156,0
12,99828,142,1,0,29,0,0,0,1,0,0,0,0,0,1,0.3320121265503407,True,4.184383587173355,2.7923754577550577,0.0,0.07515368210041533,1.8173547998648325,4.557268634105629,6.7895781577112935,7.244255506698813,9.899399554622056,12,,,172,0
13,99811,152,4,0,33,0,0,0,1,0,0,0,0,0,1,0.33108960811233046,True,4.061162900299913,2.642321183509286,0.0,0.40569098020028127,1.6690804644381148,4.287198917948767,6.43277658345268,6.970460547121732,9.293125976951616,13,,,189,0
14,99793,161,8,0,38,0,0,0,1,0,0,0,0,0,1,0.33010439348138726,True,4.107704594192646,2.7316172760606308,0.0,0.31668751459748845,1.591236305606348,4.361557934008346,6.415365205220134,7.120339364531999,9.017933401631227,14,,,207,0
15,99774,175,11,0,40,0,0,0,1,0,0,0,0,0,1,0.3311636430792749,True,4.1871377717156335,2.7064773513704665,0.0,0.3715304755705493,1.8798900022739649,4.378653969831216,6.3947443268033775,7.083696262975789,9.927498557944267,15,,,226,0
16,99753,189,17,0,41,0,0,0,1,0,0,0,0,0,1,0.3155493562580013,True,4.074336501444821,2.7591007526345903,0.0,0.0,1.7422033370298962,4.202677745600768,6.433325580315508,7.326166392222332,9.2650243780778,16,,,247,0
17,99730,195,28,0,47,0,0,0,1,0,0,0,0,0,1,0.32033238029836686,True,4.267253817377611,2.8417888029879768,0.0,0.6246632983285174,1.9756153370316651,4.4990358997305115,6.7283796430248195,7.347989945965655,13.337207430944858,17,,,270,0
18,99706,213,32,0,49,0,0,0,1,0,0,0,0,0,1,0.3202477614261953,True,4.349233446672182,2.8443601789457045,0.0,0.575190297415252,2.1053097832522973,4.422049370696374,6.69949630038917,7.436382079601463,12.465011056140614,18,,,294,0
19,99680,231,35,0,54,0,0,0,1,0,0,0,0,0,1,0.3247389815209178,True,4.093457926820607,2.84532918416572,0.0,0.05307359657696452,1.4525910717754629,4.385862038139841,6.499012262189728,7.19050034521651,11.59281468133637,19,,,320,0
20,99652,252,39,0,57,0,0,0,1,0,0,0,0,0,1,0.3221743818971906,True,4.159521183233994,2.786962665289786,0.0,0.650345512779099,1.6482504092749166,4.196383078491801,6.473269492470261,7.258360287332358,11.833384237743413,20,,,348,0
21,99622,272,45,0,61,0,0,0,1,0,0,0,0,0,1,0.3231889765811259,True,4.247732977917213,2.793063525256331,0.0,0.5938381756624189,2.0503145292707403,4.597232895847951,6.5083568466144595,7.234228210765422,11.147365751557446,21,,,378,0
22,99589,290,53,0,68,0,0,0,1,0,0,0,0,0,1,0.3131842269582422,True,4.363120577575945,2.8716063802236746,0.0,0.27532759531363526,1.7935085734735359,4.989168807895973,6.719495003216934,7.389971864922108,10.46134726537148,22,,,411,0
23,99554,311,66,0,69,0,0,0,1,0,0,0,0,0,1,0.3078874472933028,True,4.420502001655247,2.742090523389129,0.0,0.9101078047634195,2.0390352477402782,4.84554329373681,6.698796269827159,7.324377395317272,9.948295628700336,23,,,446,0
24,99517,333,80,0,70,0,0,0,1,0,0,0,0,0,1,0.30696062714176875,True,4.594052903027791,2.8390445155084247,0.0,0.7682240263017142,2.1080483100864624,5.053179049301555,6.9738434531155695,7.578412440040032,10.30918862021494,24,,,483,0
25,99477,358,90,0,75,0,0,0,1,0,0,0,0,0,1,0.3162586072754009,True,4.659006490621592,2.848838020773332,0.0,0.6641054522586675,2.0802428461507168,5.169150480015485,7.021573318603612,7.63081729121929,10.94662596345108,25,,,523,0
26,99434,391,94,0,81,0,0,0,1,0,0,0,0,0,1,0.3060553551986825,True,4.5135940214559165,2.909880048194474,0.0,0.10252433593411385,1.8769332710119215,5.200236374581454,6.877488865787387,7.468172927441817,14.991834953052983,26,,,566,0
27,99387,420,110,0,83,0,0,0,1,0,0,0,0,0,1,0.2993694649642994,True,4.472071281110605,2.8138610792714123,0.0,0.26598618726593515,2.2449012163532216,5.003395897833217,6.70302045357828,7.205114599029184,13.501626546646449,27,,,613,0
28,99337,448,124,0,91,0,0,0,1,0,0,0,0,0,1,0.3016227836710607,True,4.510293701105179,2.6775689514366396,0.0,0.8122587441992386,2.3014604819980815,4.9146832145232935,6.641907213571504,7.320328198512035,9.667228864038632,28,,,663,0
29,99283,482,140,0,95,0,0,0,1,0,0,0,0,0,1,0.3066648702003483,True,4.453397189900324,2.669959155120985,0.0,0.7734801474592393,2.2796950989493574,4.99658538647312,6.581919477233122,7.3555443892663845,11.304451316960904,29,,,717,0
30,99225,525,152,0,98,0,0,0,1,0,0,0,0,0,1,0.3177030918220948,True,4.311885051358816,2.7239786877962944,0.0,0.47933653244768293,1.9522890146743455,4.7157872753415315,6.59792929014147,7.252905471444887,10.701612774725955,30,,,775,0
31,99162,578,156,0,104,0,0,0,1,0,0,0,0,0,1,0.3220764924446903,True,4.225518020599982,2.6830964699546795,0.0,0.526252814070152,1.9255389328999717,4.5575883500587695,6.5499873085183395,7.110984338504054,10.39092978472527,31,,,838,0
32,99093,624,170,0,113,0,0,0,1,0,0,0,0,0,1,0.3246964082798885,True,4.262378353643048,2.7532352773382933,0.0,0.41074474528178384,1.8940907455114744,4.623820943486528,6.486287466920753,7.206556053544349,12.295782355734493,32,,,907,0
33,99018,670,184,0,128,0,0,0,1,0,0,0,0,0,1,0.3217905477075976,True,4.209298336508381,2.7430002910980256,0.0,0.3749873471091464,1.838079508141051,4.575308325690134,6.466717036586936,7.283305674464314,11.774062672785535,33,,,982,0
34,98938,717,205,0,140,0,0,0,1,0,0,0,0,0,1,0.32443075442904495,True,4.193924480967563,2.779262917473511,0.0,0.18857562116502252,1.7552995184628508,4.561711821694027,6.563457191350041,7.338202735799841,11.252342989836574,34,,,1062,0
35,98852,773,216,0,159,0,0,0,1,0,0,0,0,0,1,0.3219506200410658,True,4.108120509604752,2.7860509292736158,0.0,0.08205439885783056,1.614894293043505,4.359614606334803,6.51423425638659,7.205254043153416,10.730623306887615,35,,,1148,0
36,98760,825,238,0,177,0,0,0,1,0,0,0,0,0,1,0.3249294261311835,True,4.185217376983729,2.6862204714109814,0.0,0.4598683068211287,1.9720966822692858,4.363001462779043,6.510269171276052,7.105282688346925,10.208903623938657,36,,,1240,0
37,98662,897,253,0,188,0,0,0,1,0,0,0,0,0,1,0.3221418729482403,True,4.2430244360513285,2.7507774686804893,0.0,0.38212876968600823,1.8447571544389154,4.45063222828649,6.584243679251578,7.257595900913675,10.98527454386053,37,,,1338,0
38,98555,962,281,0,202,0,0,0,1,0,0,0,0,0,1,0.320799504514433,True,4.2205973862852995,2.755934552628964,0.0,0.27868490701849424,1.791084247319195,4.5129590884761805,6.584615001965364,7.180837435513604,10.342729226335177,38,,,1445,0
39,98440,1039,306,0,215,1666,7,1666,1,0,7,1634,18,7,1,0.32352350619645726,True,4.270641963648245,2.7993770451323825,0.0,0.4408037518547905,1.7794555966527188,4.711048506527813,6.666442486830299,7.330770653874877,11.28760279762684,39,0.28,0.9957343083485679,1560,1666
40,98316,1120,327,0,237,1666,15,1666,1,0,15,1626,17,8,1,0.3210611847266744,True,4.252085962160186,2.7749103841328484,0.0,0.48816782136987913,1.7234421634930295,4.673227352376481,6.587350762817834,7.212616024731082,10.802785313323731,40,0.46875,0.9951040391676866,1684,1666
41,98183,1201,358,7,251,1666,14,1666,1,0,14,1639,7,6,1,0.3222595857797434,True,4.253041130584565,2.785280223451999,0.0,0.4150382806825973,1.774266503138049,4.717104440737017,6.527743431016489,7.235889268852002,10.31796782902062,41,0.6666666666666666,0.9963525835866262,1817,1666
42,98040,1284,384,22,270,1666,9,1666,1,0,9,1629,16,12,1,0.32149289975106926,True,4.214644603580357,2.778165235936118,0.0,0.36467745404523855,1.6366022383570942,4.506833665171303,6.5951857304765475,7.321243948365742,11.338937543885018,42,0.36,0.9926873857404022,1960,1666
43,97888,1365,422,36,289,1666,16,1666,1,0,16,1627,18,5,1,0.31326047698252546,True,4.253993043540402,2.733544185372164,0.0,0.40318247375822625,1.8885298668807011,4.558514689899994,6.557609074313634,7.227319488614731,12.738067000800527,43,0.47058823529411764,0.9969362745098039,2112,1666
44,97726,1446,474,45,309,1666,16,1666,1,0,16,1613,24,13,1,0.3126411785952025,True,4.343525310198873,2.7544839932709513,0.0,0.4694259612923888,2.0612671041078743,4.7297471619057525,6.665436613324262,7.269601934289671,12.979351914050342,44,0.4,0.9920049200492005,2274,1666
45,97555,1546,513,61,325,1666,20,1666,1,0,20,1624,14,8,1,0.31034180469372347,True,4.341649810898844,2.7943859347444935,0.0,0.45428046903647057,1.9050197905082122,4.670983933561123,6.643001823307971,7.280597871752632,12.419141665200888,45,0.5882352941176471,0.9950980392156863,2445,1666
46,97373,1651,560,76,340,1666,19,1666,1,0,19,1615,22,10,1,0.31152358709920175,True,4.413696647125141,2.824925692544171,0.0,0.503288780223836,1.9187051226953566,4.837018940385629,6.693126969900214,7.335692068196527,12.82408529292184,46,0.4634146341463415,0.9938461538461538,2627,1666
47,97179,1752,606,94,369,1666,14,1666,1,0,14,1617,15,20,1,0.314439388556608,True,4.354207254092958,2.811462151413423,0.0,0.5190064458418666,1.8744000787328585,4.732905565294206,6.608871319768552,7.393968385962134,17.58592248819268,47,0.4827586206896552,0.9877825290164935,2821,1666
48,96973,1864,652,113,398,1666,24,1666,1,0,24,1607,16,19,1,0.3122573360507963,True,4.3441696982945155,2.8134966942949573,0.0,0.31454274428853857,1.996697265711572,4.797355566554548,6.636178919801383,7.389288143954708,16.387098735901354,48,0.6,0.9883148831488315,3027,1666
49,96754,1984,715,124,423,1666,26,1666,1,0,26,1605,19,16,1,0.31242803154817167,True,4.304087578481856,2.7916484642600357,0.0,0.26425519719493284,1.9031191685894329,4.66898436590337,6.6221412087387685,7.270684695082078,15.18827498361003,49,0.5777777777777777,0.9901295496607033,3246,1666
50,96522,2114,776,146,442,1666,28,1666,1,0,28,1619,12,7,1,0.30830628197987026,True,4.346784267028114,2.7452420802674062,0.0,0.5877178561696587,2.0355196441419094,4.72311230664492,6.607274254215225,7.23557973875088,13.989451231318705,50,0.7,0.9956949569495694,3478,1666
51,96275,2235,842,171,477,1666,24,1666,1,0,24,1613,20,9,1,0.30849944365281123,True,4.380418298517045,2.7304545537528475,0.0,0.7392463176087283,2.1343880172636447,4.675813884569174,6.650995380128812,7.293632271396001,13.341430683594899,51,0.5454545454545454,0.9944512946979038,3725,1666
52,96015,2375,911,197,502,1666,29,1666,1,0,29,1613,16,8,1,0.3088281322742558,True,4.346171184143082,2.7435153507145156,0.0,0.5442964635200302,2.003016045230738,4.740682996823405,6.532284277755407,7.224981686930714,12.8023722879695,52,0.6444444444444445,0.9950647748303516,3985,1666
53,95739,2506,982,218,555,1666,22,1666,1,0,22,1617,11,16,1,0.3125260745089742,True,4.315544183675341,2.7279699109299234,0.0,0.628756373032691,2.008980585198681,4.682349855287238,6.571964195238388,7.233668563010683,12.263313892344101,53,0.6666666666666666,0.9902020820575628,4261,1666
54,95449,2676,1046,242,587,1666,35,1666,1,0,35,1603,15,13,1,0.31345782144524853,True,4.3498659499000825,2.735781765962661,0.0,0.5838633105050232,2.0107750490508627,4.797000464497921,6.573739161228937,7.317881530595475,11.724255496718703,54,0.7,0.9919554455445545,4551,1666
55,95140,2849,1124,258,629,1666,37,1666,1,0,37,1595,17,17,1,0.31543366268525636,True,4.25394462634943,2.731795366409214,0.0,0.5226669955837713,1.824313316721824,4.686567942580452,6.550962762888136,7.247125075356234,10.648385384239628,55,0.6851851851851852,0.989454094292804,4860,1666
56,94812,3035,1200,285,668,1666,36,1666,1,0,36,1594,15,21,1,0.31850219129140356,True,4.212847023255331,2.7024958857394012,0.0,0.49828407432343413,1.8502826396296834,4.558864449421202,6.494834460668602,7.152583107759082,11.331252083600667,56,0.7058823529411765,0.9869969040247678,5188,1666
57,94464,3223,1286,310,717,1666,34,1666,1,0,34,1598,17,17,1,0.3208209570173835,True,4.304150023862449,2.705208189392367,0.0,0.6641686405433012,1.8891171067898107,4.607110447091652,6.58395125493915,7.247565578727007,11.906271268732432,57,0.6666666666666666,0.9894736842105263,5536,1666
58,94096,3425,1382,328,769,1666,39,1666,1,0,39,1595,15,17,1,0.3245042970230639,True,4.306857983295891,2.725761818907954,0.0,0.5309861161534251,1.9206277271404417,4.654795953107601,6.588963110691077,7.2692131318145785,11.283385621349213,58,0.7222222222222222,0.989454094292804,5904,1666
59,93706,3655,1475,349,815,1666,47,1666,1,0,47,1587,11,21,1,0.3241597405070266,True,4.262369958091157,2.7389866300983505,0.0,0.548482015732857,1.8109494925943002,4.580599538125401,6.542689344243049,7.222579561245907,13.177705126660888,59,0.8103448275862069,0.9869402985074627,6294,1666
60,93292,3870,1601,373,864,1666,35,1666,1,0,35,1597,13,21,1,0.3241593761871178,True,4.222082530012815,2.7530953769110016,0.0,0.372747689195522,1.7507446797904933,4.532543701408747,6.506910953190149,7.242622545697937,12.419141665200888,60,0.7291666666666666,0.9870210135970334,6708,1666
61,92856,4104,1727,405,908,1666,57,1666,1,0,57,1566,19,24,1,0.32173220972073974,True,4.191682301093328,2.727600767457504,0.0,0.40898835834578284,1.892412542512915,4.5013940882281815,6.539757888496233,7.227414061456862,11.824214472113036,61,0.75,0.9849056603773585,7144,1666
62,92395,4350,1881,422,952,1666,41,1666,1,0,41,1583,13,29,1,0.3226145814396596,True,4.195063335293351,2.735462120540591,0.0,0.28962980258090654,1.7942820689944552,4.514707143111492,6.5228830463456235,7.1809822699378865,13.928290786788489,62,0.7592592592592593,0.9820099255583127,7605,1666
63,91909,4586,2027,467,1011,1666,51,1666,1,0,51,1567,11,37,1,0.32289875907739685,True,4.257056824136604,2.7237043064416437,0.0,0.5515496990164582,1.9299358392046002,4.56929475251249,6.510932939290123,7.22052647092985,14.95592593046797,63,0.8225806451612904,0.976932668329177,8091,1666
64,91399,4851,2196,486,1068,1666,57,1666,1,0,57,1567,11,31,1,0.3247019434829598,True,4.356667402749171,2.7384577641179164,0.0,0.6538421115052602,2.1069410975136753,4.674587069849686,6.623741015477512,7.319617693208954,14.265030118557032,64,0.8382352941176471,0.9806007509386734,8601,1666
65,90863,5140,2364,513,1120,1666,63,1666,1,0,63,1560,15,28,1,0.32467848771357627,True,4.350407315828184,2.7336260678472826,0.0,0.6640904571597344,2.016305833149324,4.656012462439055,6.617420525777352,7.330501071021888,13.574134306646096,65,0.8076923076923077,0.982367758186398,9137,1666
